Mediciones de 5 minutos

caso 0
					3: 5504 IOP100T
					3: 5504 IOP100T
					3: 5440 IOP100T
					3: 5504 IOP100T
					3: 5512 IOP100T
					3: 5504 IOP100T
					3: 5504 IOP100T
					3: 5504 IOP100T
					3: 5440 IOP100T
					3: 5504 IOP100T
					3: 5504 IOP100T
					3: 5504 IOP100T
					3: 5504 IOP100T
					3: 5504 IOP100T
					3: 5449 IOP100T
					3: 5504 IOP100T
					3: 5504 IOP100T
					3: 5376 IOP100T
					3: 5504 IOP100T
					3: 5504 IOP100T
					3: 5449 IOP100T
					3: 5504 IOP100T
					3: 5504 IOP100T
					3: 5504 IOP100T
					3: 5440 IOP100T
					3: 5504 IOP100T
					3: 5504 IOP100T
					3: 5440 IOP100T
					3: 5504 IOP100T
					3: 5504 IOP100T


caso 1
3: 5541 KFLOP100T
3: 5541 KFLOP100T
3: 5592 KFLOP100T
3: 5541 KFLOP100T
3: 5541 KFLOP100T
3: 5592 KFLOP100T
3: 5541 KFLOP100T
3: 5592 KFLOP100T
3: 5541 KFLOP100T
3: 5592 KFLOP100T
3: 5541 KFLOP100T
3: 5541 KFLOP100T
3: 5592 KFLOP100T
3: 5541 KFLOP100T
3: 5541 KFLOP100T
3: 5592 KFLOP100T
3: 5541 KFLOP100T
3: 5592 KFLOP100T
3: 5541 KFLOP100T
3: 5592 KFLOP100T
3: 5541 KFLOP100T
3: 5541 KFLOP100T
3: 5592 KFLOP100T
3: 5541 KFLOP100T
3: 5541 KFLOP100T
3: 5592 KFLOP100T
3: 5541 KFLOP100T
3: 5541 KFLOP100T

caso 2
					6: 60 IOP100T
5: 5392 KFLOP100T
5: 5441 KFLOP100T
					6: 66 IOP100T
5: 5441 KFLOP100T
5: 5441 KFLOP100T
					6: 65 IOP100T
5: 5441 KFLOP100T
5: 5441 KFLOP100T
					6: 66 IOP100T
5: 5441 KFLOP100T
					6: 66 IOP100T
5: 5441 KFLOP100T
5: 5392 KFLOP100T
					6: 66 IOP100T
5: 5441 KFLOP100T
5: 5441 KFLOP100T
					6: 66 IOP100T
5: 5441 KFLOP100T
5: 5441 KFLOP100T
					6: 66 IOP100T
5: 5392 KFLOP100T
					6: 66 IOP100T
5: 5441 KFLOP100T
5: 5441 KFLOP100T
					6: 66 IOP100T
5: 5441 KFLOP100T
5: 5441 KFLOP100T
					6: 66 IOP100T
5: 5441 KFLOP100T
					6: 66 IOP100T
5: 5441 KFLOP100T
5: 5441 KFLOP100T
					6: 66 IOP100T
5: 5392 KFLOP100T
5: 5441 KFLOP100T
					6: 66 IOP100T
5: 5441 KFLOP100T
5: 5441 KFLOP100T
					6: 66 IOP100T
5: 5392 KFLOP100T
					6: 66 IOP100T
5: 5441 KFLOP100T

caso 3
					5: 3008 IOP100T
					6: 5960 IOP100T
					5: 3384 IOP100T
					6: 2154 IOP100T
					5: 5312 IOP100T
					6: 2649 IOP100T
					5: 5120 IOP100T
					6: 3282 IOP100T
					5: 3456 IOP100T
					6: 1674 IOP100T
					5: 4015 IOP100T
					5: 5696 IOP100T
					6: 876 IOP100T
					5: 5184 IOP100T
					6: 602 IOP100T
					5: 6272 IOP100T
					6: 4160 IOP100T
					5: 4344 IOP100T
					5: 6016 IOP100T
					6: 2926 IOP100T
					5: 4689 IOP100T
					6: 4344 IOP100T
					5: 5504 IOP100T
					6: 2030 IOP100T
					5: 3328 IOP100T
					6: 3328 IOP100T
					5: 5888 IOP100T
					6: 3200 IOP100T
					5: 4932 IOP100T
					6: 4186 IOP100T
					5: 5829 IOP100T
					6: 4266 IOP100T
					5: 4544 IOP100T
					6: 962 IOP100T
					5: 4672 IOP100T
					6: 5259 IOP100T
					5: 5639 IOP100T
					6: 3712 IOP100T
					5: 4032 IOP100T
					5: 4672 IOP100T
					6: 1859 IOP100T
					5: 4266 IOP100T
					6: 5702 IOP100T
					5: 3968 IOP100T
					6: 3137 IOP100T
					5: 4864 IOP100T
					6: 4480 IOP100T
					5: 4207 IOP100T
					6: 3535 IOP100T
					5: 5120 IOP100T
					6: 604 IOP100T
					5: 4608 IOP100T
					6: 1969 IOP100T
					5: 5056 IOP100T
					6: 1450 IOP100T

caso 4
5: 6942 KFLOP100T
6: 6824 KFLOP100T
6: 6942 KFLOP100T
5: 6824 KFLOP100T
5: 6942 KFLOP100T
6: 6824 KFLOP100T
5: 6824 KFLOP100T
6: 6824 KFLOP100T
5: 6942 KFLOP100T
6: 6942 KFLOP100T
5: 6824 KFLOP100T
6: 6824 KFLOP100T
5: 6942 KFLOP100T
6: 6942 KFLOP100T
5: 6824 KFLOP100T
6: 6824 KFLOP100T
5: 6942 KFLOP100T
6: 6824 KFLOP100T
5: 6824 KFLOP100T
6: 6942 KFLOP100T
5: 6942 KFLOP100T
6: 6824 KFLOP100T
5: 6824 KFLOP100T
6: 6824 KFLOP100T
5: 6942 KFLOP100T
6: 6942 KFLOP100T
5: 6824 KFLOP100T
6: 6824 KFLOP100T
5: 6942 KFLOP100T
6: 6824 KFLOP100T
5: 6824 KFLOP100T
6: 6942 KFLOP100T
5: 6942 KFLOP100T
6: 6824 KFLOP100T
5: 6824 KFLOP100T
6: 6942 KFLOP100T
5: 6942 KFLOP100T
6: 6824 KFLOP100T
5: 6824 KFLOP100T
6: 6942 KFLOP100T
5: 6942 KFLOP100T
6: 6824 KFLOP100T
5: 6824 KFLOP100T
6: 6824 KFLOP100T
5: 6942 KFLOP100T
6: 6824 KFLOP100T
5: 6942 KFLOP100T
6: 6942 KFLOP100T
