caso 0
					4: 2016 IOP100000T
					4: 2109 IOP100000T
					4: 2141 IOP100000T
					4: 2037 IOP100000T
					4: 1915 IOP100000T
					4: 1981 IOP100000T
					4: 2109 IOP100000T
					4: 2140 IOP100000T
					4: 1811 IOP100000T
					4: 1884 IOP100000T
					4: 2147 IOP100000T
					4: 2148 IOP100000T
					4: 2026 IOP100000T

caso 1
4: 583 KFLOP100000T
4: 768 KFLOP100000T
4: 533 KFLOP100000T
4: 749 KFLOP100000T

caso 2
					5: 1932 IOP100000T
					5: 1938 IOP100000T
					5: 1969 IOP100000T
					5: 1921 IOP100000T
					5: 1970 IOP100000T
					5: 1976 IOP100000T
					5: 1959 IOP100000T
					5: 1933 IOP100000T
					5: 1957 IOP100000T
6: 202 KFLOP100000T
					5: 1906 IOP100000T
					5: 1915 IOP100000T
					5: 1879 IOP100000T
					5: 1940 IOP100000T

caso 3
					4: 2038 IOP100000T
					6: 2135 IOP100000T
					4: 2139 IOP100000T
					6: 2335 IOP100000T
					4: 2118 IOP100000T
					6: 2358 IOP100000T
					4: 2124 IOP100000T
					6: 2188 IOP100000T
					4: 2150 IOP100000T
					6: 2265 IOP100000T
					4: 2118 IOP100000T
					6: 2424 IOP100000T
					4: 2101 IOP100000T
					6: 2194 IOP100000T
					4: 2109 IOP100000T
					6: 2268 IOP100000T
					4: 2168 IOP100000T
					6: 2382 IOP100000T
					4: 2106 IOP100000T
					6: 2303 IOP100000T
					4: 2104 IOP100000T
					6: 2423 IOP100000T
					4: 2113 IOP100000T
					6: 2408 IOP100000T
					4: 2143 IOP100000T
					6: 2351 IOP100000T

caso 4
6: 395 KFLOP100000T
5: 381 KFLOP100000T
6: 544 KFLOP100000T
5: 447 KFLOP100000T
6: 525 KFLOP100000T
5: 411 KFLOP100000T

